station,WNS,frequency,region,district,city,commercial,service_area,ownership_type,content_type,License?,Year Created,Year Ended,Email,Phone,latitude,Manager Name,Manager Contact,History,Notes,Website,Owner Organization,Owner Name,Owner Profession,Politics,Religion,International?,Partners,TADIO?,Internews/Boresha Habari?,UNESCO?,BBC National Conversation,BBC Media Action,Farm Radio International,Twaweza?,Khanga Rue,Media Council Tanzania,Tanzania Media Foundation,Deutsche Welle,Watts,Height,Reach,TO DO,Alternative Stations?,Column1,Column2,Column3
5 Arusha / Radio 5 Arusha,,105.7,Arusha,Arusha,Arusha,Commercial,Regional,Private,Entertainment,,1999,,sikutegemea@yahoo.com,,"-3.44067381706463, 36.70686508325141",,sikutegemea@yahoo.com,"https://www.jamiiforums.com/threads/robert-francis-lowassa-bob-afikishwa-mahakamani-na-wafanyakazi-wa-radio-5-arusha.1284443/page-2

accused of not showing good information to promote CCM",Also own ABC TV,http://www.radio5fm.co.tz/about-us/,Tan Communication Media,Robert Francis Lowassa,Business/Politics,Yes,No,No,,,,,,,,,,,,,,,,,,,,
Arusha One Radio,,101.7,Arusha,Arusha,Arusha,Commercial,District,Community,News,,,,arushaonefm2007@yahoo.com,+255 767 118 011,-3.3892896961562906,,,,,https://arushaone.co.tz/kuhusu-sisi/,,"Yahaya Abdallah
Yahaya Abdallah (director general), in collaboration with Iddy Yahaya Njarita and Ibrahim Ally Mnzava",,,,,,,,,,,,,,,,,,,,,,,,
Familia ya Mungu FM,,,Arusha,Arusha,Arusha,Religious,District,Religious,Religious,No,2017,,aad-communications@hotmail.com,,"-3.3656683108840193, 36.68794389075411","Mr Apolinary P Shiyo, Coordinator Communication Department",,,,,Archdiocese of Arusha,Catholic Church,Catholic Church,No,Catholic,Yes,,,,,,,,,,,,,,,,,,,,
Habari Maalum / Radio Habari Maluum,,97.7,Arusha,Arusha,Arusha,Religious,District,Religious,,,1974,,,,"-3.2905597906315527, 36.626792113222926",Eliface Elizier,,,"Since 1974 to present, Habari Maalum Media has been working as a Gospel platform reaching different people with the Good News through Radio and TV programs. Most of our listeners have been encouraged with what we do and also supportive of what we do. Media being the core vessel that God has given us to reach thousands of people. In 2021 we are focusing on the following: to reach more CHILDREN and YOUTH through our multiple programs.","https://habarimaalumfm.radio12345.com/
https://habarimaalummedia.or.tz/habari-maalum-radio-station-online/
https://habarimaalummedia.or.tz/","Habari Maluum Media

",FREE PENTECOSTAL CHURCH OF TANZANIA,Religious,,Pentecostal,,,,,,,,,,,,,,,,,,,,,
Habari Njema FM / Radio Haari Njema,,87.5,Arusha,Mbulu,Mbulu,Religious,District,Religious,Religious,,2010,,info@habarinjemafm.co.tz,,-3.866666667, Lucy Sungu,lucysungu@gmail.com,,,http://www.fountainradio.co.tz/About-Us.html,Catholic Church,Catholic Church,Catholci Church,No,Yes,Yes,,,,,,,,,,,,,2KW,,,,,,,130km
Idea Radio,,95.7,Arusha,Arusha,Ngaramtoni,Commercial,Dstrict,Community,,,2014,,,+255767359158,,,,,,,,,,,,,,,,,,,,,,,,,1000kw,,,,,,,
Loliondo Community Radio,,,Arusha,Ngorongoro,Olosokwan,Community,District,Community,Local News,,2013,,kibakimako@gmail.com,,"-2.0526385822700086, 35.61835377551278",,kibakimako@gmail.com,Loliondo,https://wire.farmradio.fm/farmer-stories/tanzania-loliondo-fm-%E2%88%92-bringing-a-community-together-by-adam-bemma-for-farm-radio-weekly/,,IrkiRamat,Yannick Ndoinyo,NGO Leader,No,No,No,,,,,,,,,,,,,,,,,,,,
Mambojambo FM / Mega FM,,92.9,Arusha,Arusha,Arusha,Commercial,District,Private,Entertainment,,2007,,"mjfm930@gmail.com
info@mambojamboradio.com","+255 768 666 779
+255-715-930930","-3.3673775402860184, 36.696207661368426",,mjfm930@gmail.com,Arusha,,"http://www.megafmtz.com/?fbclid=IwAR2ZGCewtFi775f6tJ793LYTvZcC3tNYIXR-RrBrwHSq3bCS1OAkkhHY4M8
https://mambojamboradio.wordpress.com/",Mega Media Group,Julius Jenge,Businessman - Minerco,,,,,,,,,,,,,,,,,,,,,,,
Ngurumo ya Upako,,99.3,Arusha,Arusha,Arusha,Religious,District,Religious,Religious,2012,1997,,,,"-3.377883097011199, 36.54001207689732",,,Seems to have started without TCRA registration,Done with support from https://galcom.org/,https://www.nyufm.com/?fbclid=IwAR3wp8lvvIQJzfRblr5MgbN1cgktetiK6gFZau_dDlU0xCXyhU1CmwmJxIM,GeorDavie Ministries / ,H.E. Dr. GeorDavie / Prophetic Church Ministry,Religious leader,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,
Orkonerei FM,,94.4,Arusha,Simanjiro,Terrat,Non-commercial,Community,Community,Local News,2010,2002,,ilaramatak@yahoo.com,+255787402865,"-3.8890368287764634, 36.59895500111653",,ilaramatak@yahoo.com,Arusha,"Maasai, https://www.musicinafrica.net/directory/ors-community-radio
Perhaps from 1995 to 2009 was unregistered - does not appear in records
Supported by UNESCO",,"ORMAME -Orkonerei Mass Media
https://envaya.org/Orkonereifm/home

Used to be: Institute of the Orkonerei Pastoralist Advancement (IOPA)",,NGO,No,No,No,,,,,,,,,,,,,,,,,,,,
