Radio Station,ID,Village,Ward,District,Region,Problem,POST STATUS,Posting Status COMMENTS,Treatment Assignment,Block,Status,Success?,2015 DIWANI PART,2015 DIWANI %,Follow up?,How far to go,transpot proposed,proposed cost,per diem needed?,Date aired 1,Date Aired 2,Neema's Updates,Follow Up?,,RESPONSE FROM CALLS TO THE VILLAGE,Notes,Talk to District Level,Text messages,Pictures,Website post,Date Reporting,Problem Notes,2015 President CCM %,2015 MP Party,PRESIDENT %,MP %,Political Party of Dawani,Political Party of Mwinyikiti,CCM Vote %,Longtitude,Latitude,Population,Male,Female,Households,new,longitude_capital,Longitude
Dodoma FM,1,Manantu,Lalta ,Chemba,Dodoma ,Water,,,Control,1,,,CCM,54.15%,,to confirm,to confirm,To Confirm,YES,,,,,,,,,,,,,Changamoto ni  Ukosefu wa Zahanati  katika kijiji cha mguba ambapo wananchi inawalazimu kutembea zaidi ya kilometa 7 mpk  kwenda kupata huduma kwenye Vijiji vya Jirani .,CCM,CCM,67%,65.80%,,,,,,740,378,362,138,,"-6.182841562028282, 35.746711592270735","-5.1503260, 35.3013987"
Dodoma FM,2,Tinai,Msisi,Bahi,Dodoma ,Health,,,Control,2,,,CCM,71.51%,,65 km-3hrs,public transport and bodaboda,To Confirm,YES,,,,,,,"Changamoto ni  Ukosefu wa Zahanati  katika kijiji cha Tinai ambapo wananchi inawalazimu kutembea zaidi ya kilometa 7 mpk 8 kwenda kupata huduma kwenye Vijiji vya Jirani .
Hali ni Changamoto zaidi kwa akina mama wajawazito ambapo baadhi yao wanajikutana wanajifungulia njiani .",,,,,,"We have selected Tinai Village in Bahi District ,There is no hospital",CCM,CCM,80.60%,78.70%,,,,,,1935,934,1001,418,,"-6.182841562028282, 35.746711592270736","-5.8642207, 35.6336728"
Dodoma FM,3,Mpunguzi,Mpunguzi,Dodoma Urban,Dodoma ,Water,,,Control,3,,,CCM,91.15%,,30km-1hr,public transport and bodaboda,"3,000",NO,,,,,,,,,,,,,"Problem with water, they are digging local wells, but they had one well which was built by RUWASA but was then destroyed. The process of repairing is taking a very long time, waiting for electricity to help repair the well",CCM,CCM,67%,65.8%%,,,,,,9325,4492,4833,2095,,"-6.182841562028282, 35.746711592270737","-6.3987112, 35.7440937"
Dodoma FM,4,Manzase,Manzase,Chamwino,Dodoma ,Water,,,Control,4,,,NIL,NIL,,65km-7hrs,public transport and bodaboda,To confirm,NO,,,,,,,,,,,,,,CCM,CCM,84.90%,76.40%,,,,,,5555,2580,2975,1138,,"-6.182841562028282, 35.746711592270738","-6.6082460, 35.9292724"
Dodoma FM,5,Mguba,Ikombolinga,Chamwino ,Dodoma ,Health,,,Control,5,,,CCM,84.71%,,4hrs from town,public transport and bodaboda,"60,000",NO,,,,,,,Changamoto ni  Ukosefu wa Zahanati  katika kijiji cha Tinai ambapo wananchi inawalazimu kutembea zaidi ya kilometa 7 mpk 8 kwenda kupata huduma kwenye Vijiji vya Jirani .,,,,,,The challenge is the lack of a dispensary in Mguba village where the people have to walk more than 7 km mpk to get services in the neighboring villages.,CCM,CCM,84.90%,76.40%,,,,,,2251,1078,1173,472,,"-6.182841562028282, 35.746711592270739","-6.4760051, 359650678"
Dodoma FM,6,Lengaji,Chiwe,Kongwa,Dodoma ,Water,,,Control,6,,,CCM,100%,,"120-6hrs from dodoma town, fo will settle at Kongwa, kibaigwa",public transport and bodaboda,"70,000",YES,,,,,,,"Water has been an issue for such a long time, There is a well drilled in this village, but it is located very far away, like 6 Km from where people live. This has led to people start using water fro a near by river, which is not safe an clean, river water is shared with livestock like goats and cows with people, this has led to people getting sick and fail to be productive. People complain that local lraders dont act and they dont fulfil their promises. Mwenyekiti said its true that the well is far, and people use unsafe water, He reported the to diwani and DED. Diwani said he reported to the DC and they said they will come and help. RUWASA manager promised that they will first survey the volume of water in the well, if its enough they will build infrasturcture to distribute in the village. But is the volume is lo, they they will drill another well. They will visit the site soon. ",,,,,,,CCM,CCM,84.90%,76.30%,,,,,,2051,992,1059,378,,"-6.182841562028282, 35.746711592270740","-6.1463300, 36.7383300"
Dodoma FM,7,Soweto,Zuzu,Dodoma,Dodoma ,Water,,,Control,7,,,CCM,100%,,,public transport and bodaboda,6000,NO,,,,,,,"Mtaa huu unakabiliwa na Changamoto ya maji ,ambapo matumaini makubwa kwa wananchi yamesalia katika kununua maji kwa wafanyabiashara.
Mtaa huo umeendelea kushuhudia baadhi ya wananchi wakitumia maji ya Visima vya kienyeji na maji ya mabwawa ya Mvua ambayo yametuama ",,,,,,,CCM,CCM,67%,65.80%,,,,,,,,,,1,"-6.182841562028282, 35.746711592270741","-6.1689507, 35.6286467"
Dodoma FM,8,Hombolo zepisa,Hombolo makulu,Dodoma Urban,Dodoma ,Water,,,Control,8,,,CCM,87.70%,,3hrs,public transport and bodaboda,6000,NO,,,,,,,,,,,,,,CCM,CCM,67%,65.80%,,,,,,2611,1232,1379,621,,"-6.182841562028282, 35.746711592270742","-5.8918000, 35.9545000"
Dodoma FM,9,Chidilo,Mpalanga,Bahi,Dodoma,Water,,,Control,9,,,CCM,81.65,,35km-2hrs,public transport and bodaboda,6000,YES,,,,,,,Chidilo village in Mpalanga ward is fortunate to have water stations but water does not come out and cause people to continue to find challenges in finding water in many places.,,,,,,,CCM,CCM,80.60%,78.70%,,,,,,3854,1796,2058,852,,"-6.182841562028282, 35.746711592270743","-6.3218519, 35.4987045 "
Dodoma FM,10,Ikala,Sagara,Kongwa,Dodoma,Water,,,Control,10,,,CCM,94.88%,,after finish this village fo can sleep at kibaigwa for the next trip to lengaji,public transport and bodaboda,"40,000",YES,,,,,,,One of the villages that does not have a source of water and causes the people to find the challenge of finding water long distances.,,,,,,,CCM,CCM,84.90%,76.30%,,,,,,4841,2312,2529,862,,"-6.182841562028282, 35.746711592270744","-6.2108875, 36.5487403"
