station,region,district,city,latitude,longitude
Dodoma FM,Dodoma,Dodoma,Dodoma,-6.162126986657293,35.7514996116409
Storm FM,Geita,Geita,Geita,-2.874939829255182,32.23156401246892
Nuru FM,Iringa,Iringa,Iringa,-7.777930221953579,35.6989101972616
Mpanda Radio FM,Katavi,Mpanda,Mpanda,-6.354144051527402,31.05488926692492
Moshi FM,Kilimanjaro,Moshi,Moshi,-3.33182750497371,37.36279791455187
Mashujaa FM / Radio Mashujaa FM,Lindi,Lindi,Lindi,-8.923883117447632,39.51519809542058
Mazingira FM,Mara,Bunda,Bunda,-2.018371365843555,33.87454545995899
Mbeya Highlands FM Radio,Mbeya,Mbeya,Mbeya,-8.887119092518025,33.44252672893489
Pambazuko FM Radio,Morogoro,Ifikara,Ifikara,-8.139692199912677,36.68170653962951
Planet FM,Morogoro,Morogoro,Morogoro,-6.824943481643366,37.65373991609348
Jamii FM,Mtwara,Mtwara,Naliendele,-10.35577241942802,40.1637444111421
SAUT Radio / Radio SAUT FM Stereo,Mwanza,Mwanza,Mwanza,-2.613541079934168,32.88389028324883
Voice of Sumbawanga,Rukwa,Sumbawanga,Sumbawanga,-7.92698402247876,31.63689483641613
Uyui FM,Tabora,Tabora,Tabora,-5.014260553095755,32.84206119909606
Tanga Kunani Radio (TK),Tanga,Tanga,Tanga,-5.0887041115467,39.10220477856436
